author,title,nega_posi,score,length,words
穂積重遠,法窓夜話,ポジティブ,0.8899227976799011,1491,"法律,桃太郎,乾燥,江山,乾かす,無味,ドライ,人生,始め,子供,工夫,征服,忽ち,次第,直ちに,英国,話し,離れ,アネクドーツ,アリス,イン,ウイリアム,ウォンダーランド,ストーブ,ロンドン,ヴェランダ,一同,一向,一節,一読,上り,並べ,並ん,丸く,人民,他愛,以上,伴わ,併せ,倦み,先生,兼ね,出る,加減,労れ,勉強,動機,動物,勧め,勿論,参っ,取り敢えず,古代,叩き,同じ,君主,呆れ返り,啜り,困る,囲み,国民,執筆,変形,多く,夜話,大学,大岡,大正,奇妙,好き,好ん,嬉しい,学校,宗教,定まり,寒く,尋ね,少なから,干し,当国,当時,待ち,後援,従来,御伽話,御免,微意,忘れ,思い,思い出し,思い切っ,恐らく,恐れ,惜しい,慣れ,慣習,成人,戴い,手すさび,打ちくつろい,捌き,擱き,数百,文学,文法,時代,時刻,暇々,書き取っ,書き綴っ,書斎,書物,有名,椅子,植木,楽しい,様々,権利,機会,止める,歴史,毎夜,法則,法王,法科,法窓,洋行,渇望,澄まし,濡れ鼠,濡衣,無理,珍談,理論,田中,申す,申せ,畢竟,直一郎,眠気,秀央,穂積,立つ,答え,簒奪,繰り返し,纏め,置き,義務,聞かさ,聴き,聴き流し,聴く,自分,自然,自身,致し,興味,茶受け,菓子,蒙り,行き,規則,覚え,覚え込ん,覚まし,言い合っ,言え,言わ,認め,誤謬,読ん,読書,談話,足ら,躍らし,込み入っ,退治,連想,連絡,逸事,逸話,遂に,過ぎ,道徳,遺漏,重遠,長短,附く,附従,集め,雑話,雑談,面倒,順序,願い,法律,桃太郎,乾燥,江山"
佐藤春夫,オカアサン,ポジティブ,0.8899235725402832,9885,"ロオラ,子供,言葉,サン,仙人,カア,持っ,家庭,少し,調子,言う,主人,呼ぶ,外国,彼女,自分,鸚鵡,夫人,思わ,言わ,赤ん坊,金太郎,ハト,知れ,空想,言い,言っ,ポッポ,ママ,ワン,口調,女の子,小犬,日本,時々,泣き真似,真似,知っ,鳥屋,オラ,パパ,ボーヤ,上手,以上,叫ぶ,可愛い,吠える,失っ,幼い,延び,想像,愛し,新らしく,最も,未亡人,様子,片言,考える,聞く,自身,船員,覚え,買っ,タケ,ロロ,ワーワー,一向,一日,与え,今度,以前,出す,出来,叫び,呼ば,呼ん,多少,大きな,好き,学校,完全,小さな,忘れ,思う,思える,思っ,感情,或は,気取っ,泣き声,満足,留守,発音,相当,相手,相違,真似る,笑い,笑う,自然,見る,賢い,オトナシクマッテルワヨ,グロテスク,ジョオジ,ダンス,トト,ビスケット,ブリュー,ワタシ,一ばん,一緒,一言,三十,上っ,事実,交り,何しろ,何故,充分,出し,出来る,出鱈目,初め,午後,厳禁,友達,反対,口笛,台湾,同じ,名前,喋り,喋る,喜ぶ,土産,売っ,多分,女中,好い,家族,対し,小鳥,帯び,帰っ,帰り,帰る,思い,意味,感じ,慰め,才取,捨てる,教え,最後,来る,林檎,機会,泣き,泣く,注意,無理,焼い,父母,理由,甘ったれる,生涯,申し,発見,白鳥,知ら,空気,童謡,笑い声,育っ,育て,航路,良人,蝋燭,行っ,見え,話し,説明,貰っ,買え,賑やか,踏み,近所,週間,違っ,長い,長谷川,青い,非常,面白い,食べ,食事,飼い主,飼主,馴染ま"
木村荘八,両国界隈,ポジティブ,0.8899354338645935,13140,"両国,路地,明治,東京,横町,番地,横山,丁目,吉川,二十,トラ,通り,隣り,浅草橋,記憶,名所,芸妓,馬車,天地,子供,広小路,案内,ゴブ,三角,世界,先き,同じ,呼ん,土地,大正,材料,界隈,相当,通路,馬喰町,高く,出来,多い,大きな,家々,寄り,故郷,敷い,文献,時分,柳町,無い,牛肉,生活,考へ,芸術,表通り,井上,住ん,何れ,写真,初め,勧業,商家,四十,四方,図会,地図,地方,女中,広告,当時,思つ,思は,思ふ,日本橋,柳橋,永井,狭い,瓦町,知ら,立つ,袋物,見る,飛ん,10,111,ガラス,一人,一人前,一番,一緒,一般,丁字,丁度,三十,上原,両側,二人,京橋,以前,仲間,先づ,写し,写生,出版,加賀屋,南北,及ば,合せ,同町,向う,商法,問屋,国家,在り,外れ,大体,大平,大通り,始め,安治,少し,少年,尽き,屋根,帳付け,役所,恐らく,意味,感じ,手前,持つ,探景,支店,文章,新撰,時代,書い,本所,東西,柳原,浅草,浪花,無く,煎餅,生れ,発行,神崎,神田,立体,米沢,絵本,老人,背中,自分,若松,落ち,行つ,見える,見れ,角店,記号,近く,通称,鉄道,間違ひ,面白,アーク,ガイテツ,コーモリ,チヤン,チヨン,ドブ,ハイカラ,ブロック,一劃,一帯,一種,一筋,一節,一草,下水,中程,亀甲,二百,云ひ,互ひ,五色,仕事,代替り,以上,伝へ,伝来,体裁,何処,作品,依然,元々,全然,共立,具合,凡て,出る,切つ"
坂口安吾,世に出るまで,ポジティブ,0.8899507522583008,7597,"雑誌,小説,同人,スポーツ,貧乏,書い,学校,外国,大そう,非常,全然,尾崎,自分,読ん,出版,勉強,岩波,当時,戦争,気持,津世子,矢田,行っ,バカ,フランス,仕方,作家,先生,文学,日本,書き,書く,決闘,発表,知れ,芸術,買っ,飜訳,バカバカしい,中学,云っ,京都,坊主,士郎,小田原,少年,東京,次第,生活,競技,考え,芥川,葛巻,覚え,読む,陸上,アテネ,スポーツマン,フランセ,一念,三好,九州,以上,以外,休ん,入り,原稿,大観,好き,島原,思う,惚れ,感じ,戦後,才能,文壇,時間,暮し,最初,柔道,死ん,生き,申しこん,知ら,竹村,終る,自身,行く,読書,辞書,達治,野球,長篇,食糧,アクセサリー,エッセイ,ダメ,チエ,パン,プルウスト,ホフ,ボクシング,ボンヤリ,ワッハ,ヶ月,一しょ,事情,二人,二流,人々,人形,人間,作品,信一,全般,全部,凝っ,出社,分っ,助かっ,博士,取手,同棲,同級,場所,多かっ,大井,大森,失わ,好ん,如才,妄想,孤独,宗教,居候,広介,強く,後年,徳田,徴用,徹底,必要,怒り,情熱,意味,手前,抱腹,持っ,授業,新聞,書房,本場,毎日,消防,無名,無理,牧野,物語,発行,神経,空襲,笑っ,絶倒,絶食,翌年,習う,自由,興味,英訳,行列,衰弱,見切り,見物,見込み,言葉,試合,詩人,読め,読者,論文,諸氏,谷崎,通っ,都合,関係,音楽,風景,アパート,アメリカ,イティ,イノシシ,イヤ,オシャレ,オレ,カニ,カブト,カンベン,ガムシャラ,ガラン,ガリ版"
宮澤賢治,凾館港春夜光景,ポジティブ,0.8899533748626709,775,"広場,日本,汽笛,オダルハコダテガスタルダイト,オルフィウス,クラリオネット,サミセン,スケルツォ,セビラ,タンゴ,テント,ハコダテネムロインデコライト,バナナ,バビロン,ビオロン,フナカハロモエ,フランス,マオカヨコハマ,マクロフィスティス,マドロス,ワッサーマン,一党,交雑,会社,力三,吠え,呼吸,地引,地球,奇怪,寒い,山々,市場,床屋,映え,歌劇,正夫,氷質,汲み,海峡,海百合,海霧,灯影,照明,田谷,盛り,示せ,穫れ,繰り,翔ける,船渠,蒼白,蛋白,螺鈿,親方,観桜,赤い,踊る,辛く,過ぎる,遠く,酒精,釧路,銅鑼,長石,陶磁,電燈,青い,高田,黒い,広場,日本,汽笛,オダルハコダテガスタルダイト,オルフィウス,クラリオネット,サミセン,スケルツォ,セビラ,タンゴ,テント,ハコダテネムロインデコライト,バナナ,バビロン,ビオロン,フナカハロモエ,フランス,マオカヨコハマ,マクロフィスティス,マドロス,ワッサーマン,一党,交雑,会社,力三,吠え,呼吸,地引,地球,奇怪,寒い,山々,市場,床屋,映え,歌劇,正夫,氷質,汲み,海峡,海百合,海霧,灯影,照明,田谷,盛り,示せ,穫れ,繰り,翔ける,船渠,蒼白,蛋白,螺鈿,親方,観桜,赤い,踊る,辛く,過ぎる,遠く,酒精,釧路,銅鑼,長石,陶磁,電燈,青い,高田,黒い"
吉川英治,茶漬三略,ポジティブ,0.8899575471878052,39151,"主人,光秀,平治,人間,知っ,自分,秀吉,行っ,見え,聞い,思う,知ら,信長,太陽,思っ,蜘蛛,出し,忘れ,考え,出陣,持っ,柾木,本陣,武士,稲葉,始め,明智,朝倉,来る,老母,自身,越前,余り,具足,同じ,坐っ,奉行,宗治,戦場,知れ,石井,細川,覚え,二十,五千,今日,城下,天道,太閤,将軍,少し,役人,思わ,斎藤,時代,毎日,行く,世の中,丹波,以前,光春,味方,大将,岐阜,放免,武者,清水,牢獄,生命,義龍,羽柴,一人,中国,会い,信じ,入っ,前身,大事,山城,帰っ,恵瓊,歩い,毛利,牢内,留守,穴馬,素姓,違い,世間,主君,何処,使い,助かる,十兵衛,夜半,大きな,宗一,寄手,床几,悪い,戦争,旗本,明日,最後,死に,生涯,申し,疲れ,百姓,落ち,藤孝,見る,訪ね,足軽,途中,陽気,随身,願い,高松,与え,亀山,以上,会う,備中,再び,出る,出世,切窓,別れ,及ば,取っ,城内,場所,増し,天下,察し,小城,尾張,彦右衛門,急い,恐ろしい,感じ,挨拶,放け,案じ,武将,死ん,深い,源右衛門,生き,生れ,申す,知る,秀長,立て,笑っ,筑前,自然,蜂須賀,見える,訊ね,諸国,逃げ,過ぎ,限り,黙っ,上げ,両手,予言,二人,京都,人払い,人目,以来,全軍,出さ,出す,分っ,切っ,初め,初めて,刻々,勢い,反対,叛逆,吉川,同時,向っ,告げ,国主,地獄,城将,大きく,大日,姫路,学識,家中,対し,小屋,小早川"
木暮理太郎,初旅の大菩薩連嶺,ポジティブ,0.8899601101875305,9512,"大菩薩,尾根,二人,頂上,二十,少し,着い,時間,行く,ハマ,三角,下り,午前,来る,過ぎ,附近,午後,向っ,地図,真木,自分,見る,辿っ,連嶺,黒木,下っ,写真,富士,思う,武田,余り,出る,出発,大きな,大峠,嵯峨,提灯,木立,焼山,相違,許り,雁ヶ腹摺,黒岳,ハマイバ,上っ,上り,上流,下車,今日,佐野,南アルプス,可なり,場所,多い,失錯,小屋,小菅,左側,更に,最早,極めて,様子,此処,浅井,深い,焚火,白谷,知ら,続き,考え,聞え,踰える,近く,途中,隆起,離れ,露出,オーイ,ガレ,下る,丹波山,今度,以上,休ん,作っ,倒木,出す,初めて,初狩,包ま,即ち,同じ,呼び,地名,射る,尤も,急い,撮し,斜面,日川,明け,昨日,暢気,朝食,模様,次第,決し,河原,沿う,然し,登っ,登山,真白,着く,知っ,知れ,笹原,紅葉,細い,絶え,縦走,翌日,至る,行け,見え,通っ,進む,達し,開け,雲取,鞍部,飛竜,驚い,高く,アイ,エバ,オヤ,ハメ,フィルター,マッチ,リュックサック,三十,上ろう,不明,世話,主要,乾板,予想,人家,付い,仰い,任せ,休憩,但し,何処,入れ,全く,出立,初鹿野,前方,勾配,単に,反っ,取る,合し,合点,名栗,向う,呉れ,困っ,困難,土地,変っ,多かっ,多摩,夜明け,夜道,天気,始める,子供,季節,安心,実際,寒い,小さな,就て,居る,山葵,岐れ,広い,引受け,引返し,当っ,待っ,徒渉,従っ,心配,必ず,必要,忘れ"
沖野岩三郎,硯箱と時計,ポジティブ,0.8899657726287842,4084,"石之助,硯箱,学校,卒業,太夫,申し,勉強,時計,一番,山野,試験,落第,言つ,言ひ,下さい,優等,入学,子爵,思ひ,下さる,大丈夫,定紋,思つ,中学,喜び,士族,大きな,学問,帰り,応接,東京,白い,笑ひ,算術,紀伊,足軽,高等,上手,不思議,五十,人間,今度,仏壇,休ん,入つ,入り,出し,出る,出来,受け,名前,問ひ,喜ん,大学,家来,家老,必死,忘れ,新聞,書生,玄関,老人,若殿,行き,行く,行つ,表げん,褒美,覚え,身体,青年,上げ,上り,世間,乗る,二人,云つ,云ひ,亡くなり,今年,今日,代代,代理,仲よく,休み,住所,元気,八千,其の,出来る,刻みつけ,勇気,務め,勝つ,勤め,北海道,医科,医者,取次,呼ば,多分,始まり,姓名,学生,学習,家令,尋ね,小い,帰つ,平民,年間,引越,弱い,弱く,役人,心配,志し,悪い,成功,手紙,方法,日本,旧藩,早速,昨年,時代,時時,書い,本年,本当,校長,椅子,正直,毎日,活字,流し,涙ぐん,牛乳,牧畜,理科,田端,申しわけ,申し上げ,病気,目的,知ら,知事,短い,童話,答へ,綴方,習字,考へ,自信,自分,苦しく,茶釜,藩公,見こみ,見れ,見舞,言は,言ふ,言葉,記事,説明,読ん,賞品,身分,近づい,遊ん,達者,配達,銀側,閣下,雑誌,頂き,頼み,石之助,硯箱,学校,卒業,太夫,申し,勉強,時計,一番,山野,試験,落第,言つ,言ひ,下さい,優等,入学,子爵,思ひ,下さる,大丈夫,定紋"
島木赤彦,女子霧ヶ峰登山記,ポジティブ,0.8899661302566528,5245,"居る,登山,霧ヶ峰,女子,角間,ソウ,採集,生徒,云う,此の,登っ,諏訪,諏訪町,学校,植物,火山,新田,三十,如く,少し,ニンジン,中々,二十,今年,今日,出し,師範,断崖,未だ,極めて,中腹,何処,全く,八ヶ岳,其の,北端,埋れ,大した,富士,思う,感じ,方面,旅行,狸藻,登る,直ぐ,直ちに,科の木,立っ,立石,行く,追々,遠足,部分,アシ,エンビ,キンバイ,クラ,コウ,サラシナショウマ,サワギキョウ,センノウ,ハギ,ヒメ,ミズ,ヤマ,リンカ,ワレモコウ,一時,一種,一面,下諏訪,下駄,両方,主峰,二三,二人,二千,云っ,以上,以下,位置,先ず,八島,出る,北方,午後,合し,向う,向っ,吹き落ち,咲き,喜び,天上,夫人,女郎花,如き,始め,寒く,小県,少く,尤も,山原,山梨,当っ,思わ,捲き,握飯,日本,桔梗,沢山,流出,特に,甚だ,異なっ,疑問,疲労,発見,登れ,石楠花,神事,紀行,続い,群落,草原,落葉松,要領,見え,見渡さ,記憶,賛成,賽の河原,走る,踏ん,過ぎ,道ばた,遙か,長い,随分,雄大,面白い,高等,アケボノソウ,アブラ,アリノトウグサ,イヌ,イブキトラノオ,イワゼキショウ,ウスユキ,ウメバチ,オウレン,オタカラコウ,オメグラ,カンゾウ,ガヤ,キオン,ギク,クカイソウ,クサボケ,クララ,グンナイフウロソウ,コタヌキモ,コトジソウ,コバノイチヤクソウ,ゴボウ,シモツケ,シャクナゲ,シュロ,ショウジョウ,シラヤマ,スタスタ,タチフウロソウ,タムラ,ダラシ,ツバメオモト,ツリガネ,ツル,ツルコケモモ,トラノオ,トリアシショウマ,ニガクサ,ネコ,ノブ,ハコ,ハナナヅナ,バイケイ,バカマ,ヒキ,ヒメユリ,フシグロセンノウ,ポツポツ,マキエハギ,マツバ,マツムシ,ママ,ミズゴケ,ミツバ,ムシャ,メドハギ,ヤチスギラン"
斎藤茂吉,つゆじも,ポジティブ,0.8899669051170349,28794,"長崎,二十,居り,大正,温泉,来り,三十,行く,一日,過ぎ,入り,午後,居る,東京,行き,見え,見れ,教授,旅館,日本,歌会,午前,四十,新聞,暮れ,来し,高原,歌集,自分,来る,此処,浦上,癒え,聞き,落葉,見る,諏訪,高谷,今日,照らさ,白き,聞く,茂吉,一人,先生,博士,天主,学校,寂し,居れ,思ひ,斎藤,昭和,汽車,石原,神社,遠く,降り,飛び,鳴く,中村,信濃,唐津,図書,大浦,大阪,帰り,帳面,忘れ,文字,既に,椰子,深き,病み,病院,知ら,蟋蟀,行か,越え,近く,部屋,青き,アララギ,人力,伯林,佐賀,入る,公園,前田,大き,大学,嬉野,富士見,山かげ,御堂,思ふ,我が,投宿,木立,武藤,死に,流れ,激ち,焼失,照らす,狭間,百穂,聞こ,聞こえ,見物,語り,諸氏,谷底,赤く,赤彦,送別,雑誌,食ひ,鹿児島,シイ,ペナン,ホテル,マラッカ,上陸,二人,俘虜,別府,医学,去り,古湯,古賀,向ふ,吹き,吹く,和ぎ,土屋,夕べ,宮崎,寝所,小浜,巴里,平福,広河原,往く,思は,悲しき,愛しみ,支那,教室,整理,日日,日田,朝日,来れ,洋行,流るる,滞在,烟草,照り,熊本,生れ,画伯,県立,石垣,神戸,立ち,立つ,群れ,臥床,至る,茂太,見し,観音,起臥,釜無,長蔵,静養,鳴き,アフリカ,クロス,テール,ピナ,ボルト,マルセーユ,一夜,上京,上海,中町,久保,九十,京都,仰臥,住む,催す,入日,出で,出帆,出席,出来,出発"
